addresskey,metro_dist,rail_dist,bus_dist,parks_dist,monument_dist,sports_dist
7394368000,492.967544570634,507.567729470659,52.0096144957834,3880.22504580878,1176.20688330335,196.367003338137
7398411000,536.328257692992,806.45954641259,106.174384858119,3268.35240182277,532.141251219955,132.966161108757
7400645000,2045.54002649667,1656.04619500786,29.0688837074973,55.2635117321989,531.522712881985,277.949635725611
7400646000,3014.6351354683,2288.36732191316,40.6078810084939,204.742235010335,1001.8323552371,278.719218031363
7403361000,2869.57139656779,562.481110793954,19.7989898732233,1748.4731730781,3960.21611160648,544.287607795731
7404484000,408.374827823655,144.086779407411,87.9204185613331,787.623834469677,3313.22264574257,125.2557383915
7409526000,2695.49494527443,63.9531078212779,34.1760149812701,6387.40009878599,2366.92250571041,175.635987200801
7428796000,1550.51604312887,74.0945342113708,17.8044938147649,212.124955026845,3170.08391498986,71.449282711585
7430251000,633.470599159898,533.633769546119,37.2155881318568,1754.75057273129,1548.6965508231,79.9249648107523
7431031000,427.307851554357,199.424171052558,43.4626276242015,421.005270557041,3303.21439877307,63.8905313798532
7451644000,1044.87590708179,236.093755105881,38.9710302660931,3021.59929902477,3804.87039612385,530.427037960935
7453981000,550.859051391541,373.995126305152,21.5474940538303,174.041065556223,1165.94640208967,72.2758638827343
7455809000,1591.79175773717,465.213929284152,49.4772675074119,25.4472947400567,3699.65031601645,386.700784069581
7456222000,254.4661077629,254.4661077629,104.560986988456,238.177207812005,976.303494933267,86.6795996760608
7458630000,2292.85019135573,586.297705948096,86.6833317310773,380.443529170064,2808.79445766045,254.200708102869
7460667000,144.062486442516,115.256236273791,142.239235093556,1091.78690800975,1010.72335065149,76.0263112349928
7462552000,88.0227243386615,511.452832624867,43.1856457633784,295.368496877887,38.2674350707055,115.851081134365
7468148000,1025.30873399186,1425.05052542006,228.109622769404,316.5592559062,2618.7361231224,268.299035592753
7468780000,691.128063386229,710.359064135878,36.7151195013716,550.660194675985,345.22805994386,433.232039443068
7475773000,219.209534464187,1423.05643598558,95.9751009376796,1247.46042522362,5657.65294768173,172.258542023303
7476516000,4165.29818860547,1287.01204345569,63.6945837571767,760.761747340094,1976.46505710718,372.780096035183
7492171000,145.7978051961,1071.83767427722,82.0060973342836,2962.68440752095,463.572249776277,163.852915750687
7495581000,810.548579666882,1430.57191360658,109.931797037982,1092.04904880666,2388.08380711936,539.667867210943
7495767000,7455.87836150776,174.490520086315,80.8835063532938,724.728119144105,1832.52202566895,16.6655812980112
7496257000,448.829589042434,448.829589042434,30.4138126514911,2372.58859148075,1248.39515478899,121.202310209006
7500697000,2048.51653642337,248.128998708333,40.4969134626332,2867.84745058591,1424.67717635833,605.593260365402
7501732000,1874.28946537081,284.381785633328,28.6356421265527,130.011877626059,3581.56544248466,388.449554511263
7510562000,387.800206291848,1530.84976401997,42.0119030752,1336.84399987389,2042.97805757612,295.827950167041
7515790000,1789.43845940563,358.719946476356,31.9530906173409,87.8831713583605,3578.37179549589,289.773526050964
7517400000,1485.99932705234,584.014554613153,93.9414711402797,114.271808115932,3766.08413697845,461.833537327024
7522332000,111.400179533069,1236.3826268595,54.4518135602479,980.120058895474,2074.70822647507,157.035027939629
