lsoa,index,income,employment,education,health,crime,housing,living,incomedeprivationaffectingchildrenindex,incomedeprivationaffectingolderpeopleindex,lat,lon
E01002333,10.585,0.075,0.076,21.23,-0.735,-0.016,16.368,7.867,0.105,0.081,51.59694295,0.179723143
E01002334,10.673,0.07,0.07,15.68,-0.545,-0.024,24.431,7.433,0.123,0.064,51.59598173,0.18826474
E01002335,16.766,0.139,0.099,23.694,0.082,-0.514,22.536,8.78,0.177,0.173,51.59270831,0.170188677
E01002336,14.275,0.111,0.071,26.799,-0.677,-0.168,22.701,17.983,0.192,0.089,51.59355026,0.176972337
E01002337,11.154,0.069,0.051,11.615,-0.165,0.263,27.075,10.26,0.068,0.119,51.59035373,0.198844034
E01002338,13.115,0.094,0.082,22.775,-0.662,0.526,11.288,9.918,0.133,0.105,51.58964308,0.172806308
E01002339,6.97,0.052,0.055,14.097,-1.066,-0.024,15.854,8.246,0.072,0.051,51.58763457,0.18376328
E01002340,8.891,0.058,0.07,13.919,-0.758,0.091,12.85,14.366,0.086,0.061,51.5855836,0.176759609
E01002341,13.478,0.1,0.088,19.641,-0.638,0.116,22.777,7.782,0.198,0.063,51.60083323,0.183063722
E01002342,22.13,0.168,0.117,27.202,-0.189,0.834,16.09,20.281,0.268,0.221,51.51962725,0.201667847
E01002343,13.862,0.08,0.091,32.728,-0.463,0.213,12.287,9.359,0.091,0.115,51.52372602,0.206973868
E01002345,35.878,0.241,0.163,36.086,0.176,1.463,19.874,41.076,0.361,0.184,51.51942813,0.194520248
E01002348,10.457,0.091,0.071,27.84,-0.622,-0.607,9.229,7.393,0.159,0.072,51.52646909,0.226540434
E01002349,13.078,0.09,0.088,29.216,-0.317,-0.074,10.842,7.855,0.166,0.098,51.52928461,0.213256162
E01002350,28.354,0.21,0.141,24.249,0.181,0.941,20.213,34.434,0.332,0.259,51.57066162,0.185393101
E01002351,14.318,0.107,0.09,17.827,-0.514,0.127,11.398,27.744,0.148,0.135,51.56984618,0.192386184
E01002352,17.463,0.16,0.12,13.416,-0.13,-0.006,14.81,18.999,0.266,0.172,51.57408454,0.196626542
E01002353,17.255,0.108,0.09,13.212,-0.558,0.852,25.2,21.564,0.149,0.123,51.58268415,0.183551167
E01002354,5.879,0.043,0.054,7.057,-0.921,0.155,13.785,8.472,0.047,0.047,51.58350877,0.194943311
E01002355,5.469,0.043,0.055,11.005,-0.976,-0.155,10.282,8.339,0.076,0.046,51.5806927,0.198059953
E01002356,38.476,0.269,0.168,37.875,0.463,1.33,30.013,31.154,0.388,0.349,51.57464648,0.178886222
E01002358,17.135,0.141,0.078,24.465,-0.481,0.375,16.071,28.161,0.253,0.205,51.57403807,0.189798176
E01002359,8.022,0.057,0.055,13.412,-0.635,0.102,13.681,12.963,0.042,0.121,51.56465335,0.224188706
E01002360,14.191,0.112,0.078,16.595,-0.598,0.625,17.031,15.094,0.077,0.166,51.55895328,0.225442082
E01002361,20.212,0.156,0.114,25.473,-0.24,0.465,16.865,22.981,0.28,0.174,51.56161716,0.217575326
E01002362,6.594,0.072,0.055,10.629,-0.918,-0.285,10.075,9.341,0.109,0.085,51.56048097,0.232465001
E01002363,20.626,0.177,0.121,32.864,-0.304,0.069,22.058,8.053,0.233,0.217,51.55811433,0.209863369
E01002364,7.832,0.07,0.069,14.858,-0.646,-0.683,12.22,9.242,0.07,0.093,51.55731085,0.215687344
E01002365,15.194,0.1,0.091,19.441,-0.221,0.532,13.963,17.97,0.16,0.098,51.55345959,0.200494273
E01002366,12.288,0.111,0.077,21.17,-0.792,0.15,13.141,10.538,0.225,0.087,51.55346274,0.20673226
E01002367,11.89,0.101,0.072,12.79,-0.756,0.581,13.139,12.998,0.158,0.12,51.56655292,0.216207998
E01002368,43.219,0.303,0.236,40.279,0.311,1.113,37.747,16.847,0.415,0.261,51.52616261,0.171619135
E01002369,23.06,0.148,0.115,30.543,-0.107,0.831,28.21,11.61,0.227,0.119,51.52812142,0.178150371
E01002370,28.204,0.204,0.17,29.868,-0.052,0.941,23.655,13.83,0.264,0.208,51.51615037,0.175594971
E01002371,17.673,0.131,0.104,22.602,-0.627,0.802,13.583,15.65,0.227,0.114,51.52810694,0.184718844
E01002372,13.737,0.104,0.079,28.328,-0.565,0.206,16.066,9.256,0.162,0.07,51.53606675,0.194850161
E01002375,27.703,0.216,0.161,33.545,0.168,0.488,22.582,16.711,0.303,0.2,51.53440361,0.181439568
E01002376,6.611,0.041,0.043,12.943,-0.72,0.167,17.107,6.828,0.037,0.075,51.58598094,0.208404445
E01002377,13.205,0.105,0.084,12.533,-0.535,0.355,18.292,15.158,0.143,0.127,51.58451131,0.219596971
E01002378,9.066,0.061,0.06,17.19,-0.785,0.173,13.969,13.391,0.051,0.118,51.58368901,0.225929922
E01002379,8.595,0.081,0.062,8.642,-0.733,0.179,12.255,12.01,0.164,0.085,51.58184183,0.205077353
E01002380,15.85,0.15,0.102,14.489,-0.309,0.036,20.915,10.806,0.265,0.153,51.58186868,0.214021659
E01002381,14.487,0.116,0.083,19.603,-0.644,0.306,21.186,12.947,0.19,0.129,51.57730483,0.21422863
E01002382,10.645,0.075,0.07,12.198,-0.718,0.352,13.698,19.6,0.115,0.084,51.57755554,0.201228178
E01002383,9.399,0.058,0.064,9.356,-0.671,0.229,22.612,12.254,0.09,0.076,51.58918889,0.213270848
E01002384,5.796,0.047,0.05,6.896,-1.088,0.243,7.615,12.783,0.062,0.066,51.55730139,0.259284393
E01002385,9.794,0.044,0.04,12.591,-0.961,0.584,28.774,10.318,0.05,0.059,51.53701327,0.2560693
E01002386,7.423,0.071,0.057,5.194,-1.135,-0.049,12.393,20.903,0.108,0.078,51.5561579,0.244255549
E01002387,4.683,0.039,0.043,5.287,-1.36,0.371,6.324,8.175,0.037,0.054,51.55193769,0.265157933
E01002388,2.173,0.021,0.031,4.67,-1.565,-0.522,10.952,5.712,0.027,0.032,51.54783522,0.250018965
E01002389,4.361,0.03,0.053,7.708,-1.323,-0.145,13.277,5.649,0.043,0.029,51.54572001,0.240838104
E01002390,2.458,0.018,0.042,8.427,-1.343,-0.822,5.811,5.379,0.03,0.021,51.55099166,0.242553807
E01000053,42.098,0.283,0.177,29.072,0.897,1.374,37.662,30.049,0.376,0.307,51.53276231,0.143831263
E01000101,39.694,0.286,0.176,28.401,0.915,1.026,32.906,32.979,0.366,0.351,51.5592271,0.144219451
E01000059,38.277,0.267,0.193,27.418,0.172,1.34,35.456,27.838,0.319,0.32,51.53636483,0.141767509
E01000084,41.801,0.284,0.175,42.675,0.482,1.526,33.191,28.959,0.392,0.311,51.53986546,0.14518254
E01000109,28.517,0.176,0.126,25.054,0.066,1.17,31.094,29.251,0.251,0.188,51.56421103,0.14082528
E01000110,16.324,0.115,0.093,14.102,0.115,0.11,24.338,16.262,0.15,0.132,51.57315667,0.146214741
E01000111,31.044,0.241,0.129,23.612,0.225,0.953,33.579,29.581,0.331,0.297,51.56897338,0.144672085
E01021800,21.409,0.082,0.074,20.604,-1.147,0.122,49.663,42.076,0.11,0.088,51.67420326,0.175205512
E01015924,26.939,0.161,0.144,43.277,-0.207,1.066,18.779,19.857,0.194,0.218,51.51185467,0.248898486
E01021443,18.13,0.116,0.066,25.976,-0.739,0.181,38.151,20.238,0.257,0.096,51.65846861,0.231980005
E01021468,10.14,0.062,0.041,11.346,-1.617,0.749,25.284,11.868,0.106,0.066,51.62810606,0.25964967
E01021473,16.109,0.084,0.073,17.015,-0.045,0.048,37.134,13.727,0.119,0.119,51.5891183,0.30215936
E01015971,26.304,0.202,0.132,39.625,0.255,0.591,15.178,20.146,0.286,0.296,51.52798694,0.302953825
E01015978,16.74,0.061,0.058,24.594,-0.781,0.223,45.972,15.797,0.087,0.087,51.544552,0.367104903
E01000702,12.25,0.1,0.064,6.749,-0.804,0.43,19.649,27.138,0.103,0.183,51.40886451,-0.047163795
E01000709,14.945,0.111,0.078,6.314,-0.064,0.121,27.593,22.166,0.103,0.173,51.41026936,-0.034081379
E01000710,11.657,0.074,0.042,10.664,-1.209,0.662,29.637,15.291,0.185,0.085,51.41842911,-0.029030998
E01000711,12.968,0.089,0.068,7.763,-0.677,0.197,29.762,21.551,0.167,0.142,51.41428275,-0.030986362
E01000712,6.762,0.057,0.037,1.315,-1.424,0.127,24.821,13.884,0.128,0.063,51.41269316,-0.019914675
